Round,Date,Grand Prix,Circuit,Winning rider,Pole position,Fastest lap
1,10 March,Qatar Airways Grand Prix of Qatar,"Lusail International Circuit,Lusail",Francesco Bagnaia,Jorge Martín,Pedro Acosta
2,24 March,Grande Prémio Tissot de Portugal,"Algarve International Circuit,Portimão",Jorge Martín,Enea Bastianini,Enea Bastianini
3,14 April,Red Bull Grand Prix of the Americas,"Circuit of the Americas,Austin",Maverick Viñales,Maverick Viñales,Maverick Viñales
4,28 April,"Gran Premio Estrella Galicia 0,0 de España","Circuito de Jerez – Ángel Nieto,Jerez de la Frontera",Francesco Bagnaia,Marc Márquez,Francesco Bagnaia
5,12 May,Michelin Grand Prix de France,"Bugatti Circuit,Le Mans",Jorge Martín,Jorge Martín,Enea Bastianini
6,26 May,Gran Premi Monster Energy de Catalunya,"Circuit de Barcelona-Catalunya,Montmeló",Francesco Bagnaia,Aleix Espargaró,Pedro Acosta
7,2 June,Gran Premio d'Italia Brembo,"Autodromo Internazionale del Mugello,Scarperia e San Piero",Francesco Bagnaia,Jorge Martín,Francesco Bagnaia
8,30 June,Motul TT Assen,"TT Circuit Assen,Assen",Francesco Bagnaia,Francesco Bagnaia,Francesco Bagnaia
9,7 July,Liqui Moly Motorrad Grand Prix Deutschland,"Sachsenring,Hohenstein-Ernstthal",Francesco Bagnaia,Jorge Martín,Jorge Martín
10,4 August,Monster Energy British Grand Prix,"Silverstone Circuit,Silverstone",Enea Bastianini,Aleix Espargaró,Aleix Espargaró
11,18 August,Motorrad Grand Prix von Österreich,"Red Bull Ring,Spielberg",Francesco Bagnaia,Jorge Martín,Francesco Bagnaia
12,1 September,Gran Premio GoPro de Aragón,"MotorLand Aragón,Alcañiz",Marc Márquez,Marc Márquez,Marc Márquez
13,8 September,Gran Premio Red Bull di San Marino e della Riviera di Rimini,"Misano World Circuit Marco Simoncelli,Misano Adriatico",Marc Márquez,Francesco Bagnaia,Marc Márquez
15,29 September,Pertamina Grand Prix of Indonesia,"Pertamina Mandalika International Street Circuit,Mandalika",Jorge Martín,Jorge Martín,Enea Bastianini
16,6 October,Motul Grand Prix of Japan,"Mobility Resort Motegi,Motegi",Francesco Bagnaia,Pedro Acosta,Jorge Martín
17,20 October,Qatar Airways Australian Motorcycle Grand Prix,"Phillip Island Grand Prix Circuit,Phillip Island",Marc Márquez,Jorge Martín,Marc Márquez
18,27 October,PT Grand Prix of Thailand,"Chang International Circuit,Buriram",Francesco Bagnaia,Francesco Bagnaia,Fabio Di Giannantonio
19,3 November,Petronas Grand Prix of Malaysia,"Petronas Sepang International Circuit,Sepang",Francesco Bagnaia,Francesco Bagnaia,Francesco Bagnaia
20,17 November,Motul Solidarity Grand Prix of Barcelona,"Circuit de Barcelona-Catalunya,Montmeló",Francesco Bagnaia,Francesco Bagnaia,Marc Márquez
–,7 April,Argentine Republic motorcycle Grand Prix,"Autódromo Termas de Río Hondo,Termas de Río Hondo",,,
–,16 June22 September,Kazakhstan motorcycle Grand Prix,"Sokol International Racetrack,Almaty",,,
–,22 September,Indian motorcycle Grand Prix,"Buddh International Circuit,Greater Noida",,,
–,17 November,Valencian Community motorcycle Grand Prix,"Circuit Ricardo Tormo,Valencia",,,
